asset,max_exposure_decrease,max_exposure_increase
PersonalLoans,0.19259107204063344,0.07144875230792538
HomeLoan,0.13601568321849294,0.16422659475762086
AutoLoan,0.1447755818254699,0.1427327094974392
StudentLoan,0.11726682829674798,0.06516840141841854
BusinessLoan,0.09398161575470969,0.06261602091724962
InvestmentMortgage,0.0992996818054874,0.15514536971886803
DebtConsolidationLoan,0.15087776841155578,0.06091445095462903
PaydayLoan,0.16285617941565203,0.17327900889355347
RRSPLoan,0.1687368565588773,0.15593633407347446
PawnLoan,0.1684427214191831,0.062202317096284966
CreditCard,0.06368091545730356,0.06272565711277879
RVLoan,0.12416304570538723,0.19799593677517635
BridgeLoan,0.05863381400249665,0.10614061936341807
ConstructionMortgage,0.13242933234856036,0.10559632206003365
HomeRenovationLoan,0.11622957520600656,0.1719199350886254
HELOC,0.183155627413745,0.19208728660757882
CashAdvances,0.10263725188281181,0.19790015957343066
ReverseMortgage,0.06756005246414089,0.16300672778884126
